19,12,Richard Hammond,1969,Karim Benzema,1987,Jake Gyllenhaal,1980,,
20,12,Kylian Mbappe,1998,Jonah Hill,1983,,,,
21,12,Samuel L. Jackson,1948,,,,,,
22,12,Maciej Dowbor,1978,,,,,,
23,12,Julia Wieniawa,1998,,,,,,
24,12,Adam Mickiewicz,1798,Witold Pyrkosz,1926,,,,
25,12,Jezus Chrystus,0,,,,,,
26,12,Mao Zedong,1893,Jared Leto,1971,,,,
27,12,Johannes Kepler,1571,,,,,,
28,12,Stan Lee,1922,,,,,,
29,12,Jude Law,1972,,,,,,
30,12,LeBron James,1984,Tiger Woods,1975,,,,
31,12,Sylwester Wardęga,1989,PSY,1977,Alex Ferguson,1941,,
